==============================================================================================================================================================
idle: 1800 S.  stree: 3600 S.  idle2: 1800 S.  logfile: /home/root/robe/stress.log.  processes: 6.
==============================================================================================================================================================
2021-03-07 21:51:43 +0800  %Cpu(s):  0.0 us,  3.0 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 21.84 C.  PL temperature: 19.54 C.
2021-03-07 21:51:48 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 21.73 C.  PL temperature: 20.27 C.
2021-03-07 21:51:53 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 21.12 C.  PL temperature: 20.13 C.
2021-03-07 21:51:58 +0800  %Cpu(s):  2.9 us,  1.5 sy,  0.0 ni, 95.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 21.42 C.  PL temperature: 20.52 C.
2021-03-07 21:52:04 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 22.07 C.  PL temperature: 20.17 C.
2021-03-07 21:52:09 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.55 C.  PL temperature: 19.71 C.
2021-03-07 21:52:14 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 22.19 C.  PL temperature: 20.90 C.
2021-03-07 21:52:19 +0800  %Cpu(s):  1.5 us,  0.0 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.52 C.  PL temperature: 19.96 C.
2021-03-07 21:52:24 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 23.42 C.  PL temperature: 20.78 C.
2021-03-07 21:52:30 +0800  %Cpu(s):  1.5 us,  1.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 22.04 C.  PL temperature: 21.46 C.
2021-03-07 21:52:35 +0800  %Cpu(s):  0.0 us,  1.5 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st  PS temperature: 22.74 C.  PL temperature: 20.84 C.
